rxn,Output
C(C(C)O)Oc1ccccc1.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3>>CC([O-])COc1ccccc1.CC(C)(C)[NH+]=P(N1CCCC1)(N1CCCC1)N1CCCC1|CC([O-])COc1ccccc1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F>>CC(COc1ccccc1)OS(=O)(=O)c1ccc(C(F)(F)F)cc1.[F-]|CC(COc1ccccc1)OS(=O)(=O)c1ccc(C(F)(F)F)cc1.[F-]>>CC(F)COc1ccccc1,57
c1cccc(c1c1nnnn1C(c1ccccc1)(c1ccccc1)c1ccccc1)c1ccc(cc1)Cn1c(c(nc1CCCC)Cl)CO.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3>>CCCCc1nc(Cl)c(C[O-])n1Cc1ccc(-c2ccccc2-c2nnnn2C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1.CC(C)(C)[NH+]=P(N1CCCC1)(N1CCCC1)N1CCCC1|CCCCc1nc(Cl)c(C[O-])n1Cc1ccc(-c2ccccc2-c2nnnn2C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F>>CCCCc1nc(Cl)c(COS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)n1Cc1ccc(-c2ccccc2-c2nnnn2C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1.[F-]|CCCCc1nc(Cl)c(COS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)n1Cc1ccc(-c2ccccc2-c2nnnn2C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1.[F-]>>CCCCc1nc(Cl)c(CF)n1Cc1ccc(-c2ccccc2-c2nnnn2C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,47
c1cc(ccc1c1onc(c1)CO)F.CN1CCCN2CCCN=C12>>[O-]Cc1cc(-c2ccc(F)cc2)on1.CN1CCCN2CCC[NH+]=C12|[O-]Cc1cc(-c2ccc(F)cc2)on1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F>>O=S(=O)(OCc1cc(-c2ccc(F)cc2)on1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[F-]|O=S(=O)(OCc1cc(-c2ccc(F)cc2)on1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[F-]>>FCc1cc(-c2ccc(F)cc2)on1,58
c1ccc2c(c1)C(=O)N(C2=O)[C@@H]1CC[C@@H](CC1)O.CN1CCCN2CCCN=C12>>O=C1c2ccccc2C(=O)N1[C@H]1CC[C@@H]([O-])CC1.CN1CCCN2CCC[NH+]=C12|O=C1c2ccccc2C(=O)N1[C@H]1CC[C@@H]([O-])CC1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F>>O=C1c2ccccc2C(=O)N1[C@H]1CC[C@@H](OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC1.[F-]|O=C1c2ccccc2C(=O)N1[C@H]1CC[C@@H](OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC1.[F-]>>O=C1c2ccccc2C(=O)N1[C@H]1CC[C@H](F)CC1,11
c1ccc2c(c1)C(=O)N(C2=O)[C@@H]1CC[C@H](CC1)O.CC(C)(C)N=C(N(C)C)N(C)C>>O=C1c2ccccc2C(=O)N1[C@H]1CC[C@H]([O-])CC1.CN(C)C(=[NH+]C(C)(C)C)N(C)C|O=C1c2ccccc2C(=O)N1[C@H]1CC[C@H]([O-])CC1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F>>O=C1c2ccccc2C(=O)N1[C@H]1CC[C@H](OS(=O)(=O)c2ccc(C(F)(F)F)cc2)CC1.[F-]|O=C1c2ccccc2C(=O)N1[C@H]1CC[C@H](OS(=O)(=O)c2ccc(C(F)(F)F)cc2)CC1.[F-]>>O=C1c2ccccc2C(=O)N1[C@H]1CC[C@@H](F)CC1,5
O1CCC(C1=O)O.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3>>O=C1OCCC1[O-].CC(C)(C)[NH+]=P(N1CCCC1)(N1CCCC1)N1CCCC1|O=C1OCCC1[O-].c1cc(ccc1C(F)(F)F)S(=O)(=O)F>>O=C1OCCC1OS(=O)(=O)c1ccc(C(F)(F)F)cc1.[F-]|O=C1OCCC1OS(=O)(=O)c1ccc(C(F)(F)F)cc1.[F-]>>O=C1OCCC1F,49
c1(c(cc(c(c1)C(C)O)[N+](=O)[O-])OCCCC(=O)OC)OC.CN1CCCN2CCCN=C12>>COC(=O)CCCOc1cc([N+](=O)[O-])c(C(C)[O-])cc1OC.CN1CCCN2CCC[NH+]=C12|COC(=O)CCCOc1cc([N+](=O)[O-])c(C(C)[O-])cc1OC.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F>>COC(=O)CCCOc1cc([N+](=O)[O-])c(C(C)OS(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1OC.[F-]|COC(=O)CCCOc1cc([N+](=O)[O-])c(C(C)OS(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1OC.[F-]>>COC(=O)CCCOc1cc([N+](=O)[O-])c(C(C)F)cc1OC,46
C1N([C@@H](C[C@@H]1O)C(=O)OC)C(=O)OC(C)(C)C.C1CCC2=NCCCN2CC1>>COC(=O)[C@@H]1C[C@H]([O-])CN1C(=O)OC(C)(C)C.C1CCC2=[NH+]CCCN2CC1|COC(=O)[C@@H]1C[C@H]([O-])CN1C(=O)OC(C)(C)C.c1cc(ccc1C(F)(F)F)S(=O)(=O)F>>COC(=O)[C@@H]1C[C@H](OS(=O)(=O)c2ccc(C(F)(F)F)cc2)CN1C(=O)OC(C)(C)C.[F-]|COC(=O)[C@@H]1C[C@H](OS(=O)(=O)c2ccc(C(F)(F)F)cc2)CN1C(=O)OC(C)(C)C.[F-]>>COC(=O)[C@@H]1C[C@@H](F)CN1C(=O)OC(C)(C)C,41
O1CCC(C1=O)O.C1CCC2=NCCCN2CC1>>O=C1OCCC1[O-].C1CCC2=[NH+]CCCN2CC1|O=C1OCCC1[O-].C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F>>O=C1OCCC1OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[F-]|O=C1OCCC1OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[F-]>>O=C1OCCC1F,74
C=CC(CCCCCCC)O.CN1CCCN2CCCN=C12>>C=CC([O-])CCCCCCC.CN1CCCN2CCC[NH+]=C12|C=CC([O-])CCCCCCC.c1cc(ccc1S(=O)(=O)F)Cl>>C=CC(CCCCCCC)OS(=O)(=O)c1ccc(Cl)cc1.[F-]|C=CC(CCCCCCC)OS(=O)(=O)c1ccc(Cl)cc1.[F-]>>C=CC(F)CCCCCCC,30
