rxn,Yield
ClC1=CC=C(C(C)=O)C=C1.COC1=CC=C(C2=C(C3=CC=C(OC)C=C3)[N+](c3c(C(C)C)cccc3C(C)C)=C([Pd]<-[N+]3=CC(Cl)=CC=C3)N2c2c(C(C)C)cccc2C(C)C)C=C1.C1CCOC1>>COc1ccc(-c2c(-c3ccc(OC)cc3)[n+](-c3c(C(C)C)cccc3C(C)C)c([Pd](Cl)(c3ccc(C(C)=O)cc3)<-[n+]3cccc(Cl)c3)n2-c2c(C(C)C)cccc2C(C)C)cc1.C1CCOC1|OB(C1=CC=CC=C1)O.COc1ccc(-c2c(-c3ccc(OC)cc3)[n+](-c3c(C(C)C)cccc3C(C)C)c([Pd](Cl)(c3ccc(C(C)=O)cc3)<-[n+]3cccc(Cl)c3)n2-c2c(C(C)C)cccc2C(C)C)cc1.O=P([O-])([O-])[O-].[K+].[K+].[K+].C1CCOC1>>COc1ccc(-c2c(-c3ccc(OC)cc3)[n+](-c3c(C(C)C)cccc3C(C)C)c([Pd](c3ccccc3)(c3ccc(C(C)=O)cc3)<-[n+]3cccc(Cl)c3)n2-c2c(C(C)C)cccc2C(C)C)cc1.[K+].[Cl-].[O-]P([O-])(OB(O)O)=O.[K+].[K+].C1CCOC1|COc1ccc(-c2c(-c3ccc(OC)cc3)[n+](-c3c(C(C)C)cccc3C(C)C)c([Pd](c3ccccc3)(c3ccc(C(C)=O)cc3)<-[n+]3cccc(Cl)c3)n2-c2c(C(C)C)cccc2C(C)C)cc1.C1CCOC1>>CC(C(C=C1)=CC=C1C2=CC=CC=C2)=O.C1CCOC1,91
ClC1=C(C)C=CC=C1C.CC1=CN(C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C=[N+]1->[Pd]C1=[N+](C2=C(C(C)C)C=CC=C2C(C)C)C=CN1C1=C(C(C)C)C=CC=C1C(C)C.CC(C)O>>Cc1cccc(C)c1[Pd](Cl)(c1n(-c2c(C(C)C)cccc2C(C)C)cc[n+]1-c1c(C(C)C)cccc1C(C)C)<-[n+]1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1C.CC(C)O|OB(O)C1=C(C)C=C(F)C=C1.Cc1cccc(C)c1[Pd](Cl)(c1n(-c2c(C(C)C)cccc2C(C)C)cc[n+]1-c1c(C(C)C)cccc1C(C)C)<-[n+]1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1C.O=P([O-])([O-])[O-].[K+].[K+].[K+].CC(C)O>>Cc1cc(F)ccc1[Pd](c1c(C)cccc1C)(c1n(-c2c(C(C)C)cccc2C(C)C)cc[n+]1-c1c(C(C)C)cccc1C(C)C)<-[n+]1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1C.[K+].[Cl-].[O-]P([O-])(OB(O)O)=O.[K+].[K+].CC(C)O|Cc1cc(F)ccc1[Pd](c1c(C)cccc1C)(c1n(-c2c(C(C)C)cccc2C(C)C)cc[n+]1-c1c(C(C)C)cccc1C(C)C)<-[n+]1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1C.CC(C)O>>CC1=C(C2=CC=C(F)C=C2C)C(C)=CC=C1.CC(C)O,80
ClC1=CC=CC=C1C.CC(C)C1=CC=CC(C(C)C)=C1N1C=C[N+](C2=C(C(C)C)C=CC=C2C(C)C)=C1[Pd]<-[N+](C)(C)C1=C(C2=CC=CC=C2)C=CC=C1.CC(C)O>>Cc1ccccc1[Pd](Cl)(c1n(-c2c(C(C)C)cccc2C(C)C)cc[n+]1-c1c(C(C)C)cccc1C(C)C)<-[N+](C)(C)c1ccccc1-c1ccccc1.CC(C)O|OB(O)C1=CC=CC=C1C.Cc1ccccc1[Pd](Cl)(c1n(-c2c(C(C)C)cccc2C(C)C)cc[n+]1-c1c(C(C)C)cccc1C(C)C)<-[N+](C)(C)c1ccccc1-c1ccccc1.CC(C)(C)[O-].[Na+].CC(C)O>>Cc1ccccc1[Pd](c1ccccc1C)(c1n(-c2c(C(C)C)cccc2C(C)C)cc[n+]1-c1c(C(C)C)cccc1C(C)C)<-[N+](C)(C)c1ccccc1-c1ccccc1.[Na+].[Cl-].CC(C)(C)OB(O)O.CC(C)O|Cc1ccccc1[Pd](c1ccccc1C)(c1n(-c2c(C(C)C)cccc2C(C)C)cc[n+]1-c1c(C(C)C)cccc1C(C)C)<-[N+](C)(C)c1ccccc1-c1ccccc1.CC(C)O>>CC1=CC=CC=C1C2=CC=CC=C2C.CC(C)O,77
ClC1=C(C)C=CC=C1C.CCC(CC)C1=CC=CC(C(CC)CC)=C1N1C2=C(C3=C4C(=CC=C3)C=CC=C42)[N+](C2=C(C(CC)CC)C=CC=C2C(CC)CC)=C1[Pd]<-[N+]1=CC=CC(Cl)=C1.Cc1ccccc1>>CCC(CC)c1cccc(C(CC)CC)c1-n1c2c([n+](-c3c(C(CC)CC)cccc3C(CC)CC)c1[Pd](Cl)(c1c(C)cccc1C)<-[n+]1cccc(Cl)c1)-c1cccc3cccc-2c13.Cc1ccccc1|OB(O)C1=C(C)C=C(C)C=C1C.CCC(CC)c1cccc(C(CC)CC)c1-n1c2c([n+](-c3c(C(CC)CC)cccc3C(CC)CC)c1[Pd](Cl)(c1c(C)cccc1C)<-[n+]1cccc(Cl)c1)-c1cccc3cccc-2c13.CC(C)(C)[O-].[K+].Cc1ccccc1>>CCC(CC)c1cccc(C(CC)CC)c1-n1c2c([n+](-c3c(C(CC)CC)cccc3C(CC)CC)c1[Pd](c1c(C)cccc1C)(c1c(C)cc(C)cc1C)<-[n+]1cccc(Cl)c1)-c1cccc3cccc-2c13.[K+].[Cl-].O=C(OB(O)O)[O-].[K+].Cc1ccccc1|CCC(CC)c1cccc(C(CC)CC)c1-n1c2c([n+](-c3c(C(CC)CC)cccc3C(CC)CC)c1[Pd](c1c(C)cccc1C)(c1c(C)cc(C)cc1C)<-[n+]1cccc(Cl)c1)-c1cccc3cccc-2c13.Cc1ccccc1>>CC1=C(C2=C(C)C=C(C)C=C2C)C(C)=CC=C1.Cc1ccccc1,70
ClC1=C(C)C=CC=C1C.CC(C)C1=CC=CC(C(C)C)=C1N1C=C[N+](C2=C(C(C)C)C=CC=C2C(C)C)=C1[Pd]<-[N+]1=CN(C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)N=C1.CC(C)O>>Cc1cccc(C)c1[Pd](Cl)(c1n(-c2c(C(C)C)cccc2C(C)C)cc[n+]1-c1c(C(C)C)cccc1C(C)C)<-[n+]1cnn(C(c2ccccc2)(c2ccccc2)c2ccccc2)c1.CC(C)O|OB(O)C1=C(OC)C=C(OC)C=C1.Cc1cccc(C)c1[Pd](Cl)(c1n(-c2c(C(C)C)cccc2C(C)C)cc[n+]1-c1c(C(C)C)cccc1C(C)C)<-[n+]1cnn(C(c2ccccc2)(c2ccccc2)c2ccccc2)c1.O=P([O-])([O-])[O-].[K+].[K+].[K+].CC(C)O>>COc1ccc([Pd](c2c(C)cccc2C)(c2n(-c3c(C(C)C)cccc3C(C)C)cc[n+]2-c2c(C(C)C)cccc2C(C)C)<-[n+]2cnn(C(c3ccccc3)(c3ccccc3)c3ccccc3)c2)c(OC)c1.[K+].[Cl-].[O-]P([O-])(OB(O)O)=O.[K+].[K+].CC(C)O|COc1ccc([Pd](c2c(C)cccc2C)(c2n(-c3c(C(C)C)cccc3C(C)C)cc[n+]2-c2c(C(C)C)cccc2C(C)C)<-[n+]2cnn(C(c3ccccc3)(c3ccccc3)c3ccccc3)c2)c(OC)c1.CC(C)O>>CC1=C(C2=CC=C(OC)C=C2OC)C(C)=CC=C1.CC(C)O,93
ClC1=NC(C)=CC=C1.CC1=CC(C(C2=CC=CC=C2)C2=CC=CC=C2)=CC(C(C2=CC=CC=C2)C2=CC=CC=C2)=C1N1C2=C(C3=C4C(=CC=C3)C=CC=C42)[N+](C2=C(C)C=C(C(C3=CC=CC=C3)C3=CC=CC=C3)C=C2C(C2=CC=CC=C2)C2=CC=CC=C2)=C1[Pd]<-[N+]1=CC=CC(Cl)=C1.CCO>>Cc1cccc([Pd](Cl)(c2n(-c3c(C)cc(C(c4ccccc4)c4ccccc4)cc3C(c3ccccc3)c3ccccc3)c3c([n+]2-c2c(C)cc(C(c4ccccc4)c4ccccc4)cc2C(c2ccccc2)c2ccccc2)-c2cccc4cccc-3c24)<-[n+]2cccc(Cl)c2)n1.CCO|OB(O)C1=CSC=C1.Cc1cccc([Pd](Cl)(c2n(-c3c(C)cc(C(c4ccccc4)c4ccccc4)cc3C(c3ccccc3)c3ccccc3)c3c([n+]2-c2c(C)cc(C(c4ccccc4)c4ccccc4)cc2C(c2ccccc2)c2ccccc2)-c2cccc4cccc-3c24)<-[n+]2cccc(Cl)c2)n1.O=C([O-])[O-].[K+].[K+].CCO>>Cc1cccc([Pd](c2ccsc2)(c2n(-c3c(C)cc(C(c4ccccc4)c4ccccc4)cc3C(c3ccccc3)c3ccccc3)c3c([n+]2-c2c(C)cc(C(c4ccccc4)c4ccccc4)cc2C(c2ccccc2)c2ccccc2)-c2cccc4cccc-3c24)<-[n+]2cccc(Cl)c2)n1.[K+].[Cl-].O=C(OB(O)O)[O-].[K+].CCO|Cc1cccc([Pd](c2ccsc2)(c2n(-c3c(C)cc(C(c4ccccc4)c4ccccc4)cc3C(c3ccccc3)c3ccccc3)c3c([n+]2-c2c(C)cc(C(c4ccccc4)c4ccccc4)cc2C(c2ccccc2)c2ccccc2)-c2cccc4cccc-3c24)<-[n+]2cccc(Cl)c2)n1.CCO>>CC1=NC(C2=CSC=C2)=CC=C1.CCO,97
ClC1=CC=CC(C)=C1.ClC1=C[N+](->[Pd]C2=[N+](C3=CC=C(C(C4=CC=CC=C4)(C4=CC=CC=C4)C4=CC=CC=C4)C=C3)C=CN2C2=CC=C(C(C3=CC=CC=C3)(C3=CC=CC=C3)C3=CC=CC=C3)C=C2)=CC=C1.CC(C)O>>Cc1cccc([Pd](Cl)(c2n(-c3ccc(C(c4ccccc4)(c4ccccc4)c4ccccc4)cc3)cc[n+]2-c2ccc(C(c3ccccc3)(c3ccccc3)c3ccccc3)cc2)<-[n+]2cccc(Cl)c2)c1.CC(C)O|OB(O)C1=CC=CC=C1.Cc1cccc([Pd](Cl)(c2n(-c3ccc(C(c4ccccc4)(c4ccccc4)c4ccccc4)cc3)cc[n+]2-c2ccc(C(c3ccccc3)(c3ccccc3)c3ccccc3)cc2)<-[n+]2cccc(Cl)c2)c1.O=P([O-])([O-])[O-].[K+].[K+].[K+].CC(C)O>>Cc1cccc([Pd](c2ccccc2)(c2n(-c3ccc(C(c4ccccc4)(c4ccccc4)c4ccccc4)cc3)cc[n+]2-c2ccc(C(c3ccccc3)(c3ccccc3)c3ccccc3)cc2)<-[n+]2cccc(Cl)c2)c1.[K+].[Cl-].[O-]P([O-])(OB(O)O)=O.[K+].[K+].CC(C)O|Cc1cccc([Pd](c2ccccc2)(c2n(-c3ccc(C(c4ccccc4)(c4ccccc4)c4ccccc4)cc3)cc[n+]2-c2ccc(C(c3ccccc3)(c3ccccc3)c3ccccc3)cc2)<-[n+]2cccc(Cl)c2)c1.CC(C)O>>CC1=CC=CC(C2=CC=CC=C2)=C1.CC(C)O,95
CC1=CC=C2C(C=CC=C2)=C1Br.CC(C)C1=CC=CC(C(C)C)=C1N1C=C[N+](C2=C(C(C)C)C=CC=C2C(C)C)=C1[Pd]<-[N+]1=CC=CC(Cl)=C1.CC(C)(C)O>>Cc1ccc2ccccc2c1[Pd](Br)(c1n(-c2c(C(C)C)cccc2C(C)C)cc[n+]1-c1c(C(C)C)cccc1C(C)C)<-[n+]1cccc(Cl)c1.CC(C)(C)O|CC1=CC=CC(C)=C1B(O)O.Cc1ccc2ccccc2c1[Pd](Br)(c1n(-c2c(C(C)C)cccc2C(C)C)cc[n+]1-c1c(C(C)C)cccc1C(C)C)<-[n+]1cccc(Cl)c1.CC(C)(C)[O-].[K+].CC(C)(C)O>>Cc1cccc(C)c1[Pd](c1c(C)ccc2ccccc12)(c1n(-c2c(C(C)C)cccc2C(C)C)cc[n+]1-c1c(C(C)C)cccc1C(C)C)<-[n+]1cccc(Cl)c1.[K+].[Br-].CC(C)(C)OB(O)O.CC(C)(C)O|Cc1cccc(C)c1[Pd](c1c(C)ccc2ccccc12)(c1n(-c2c(C(C)C)cccc2C(C)C)cc[n+]1-c1c(C(C)C)cccc1C(C)C)<-[n+]1cccc(Cl)c1.CC(C)(C)O>>CC1=CC=CC(C)=C1C2=C(C=CC=C3)C3=CC=C2C.CC(C)(C)O,42
ClC1=CC=C(C#N)C=C1.CC(C)C1=CC=CC(C(C)C)=C1N1CC[N+](C2=C(C(C)C)C=CC=C2C(C)C)=C1[Pd]<-[N+]1=CC2=C(C=CC=C2)N1.CCO>>CC(C)c1cccc(C(C)C)c1N1CC[N+](c2c(C(C)C)cccc2C(C)C)=C1[Pd](Cl)(c1ccc(C#N)cc1)<-[n+]1cc2ccccc2[nH]1.CCO|OB(O)C1=CC=CC=C1.CC(C)c1cccc(C(C)C)c1N1CC[N+](c2c(C(C)C)cccc2C(C)C)=C1[Pd](Cl)(c1ccc(C#N)cc1)<-[n+]1cc2ccccc2[nH]1.[Na+].[OH-].CCO>>CC(C)c1cccc(C(C)C)c1N1CC[N+](c2c(C(C)C)cccc2C(C)C)=C1[Pd](c1ccccc1)(c1ccc(C#N)cc1)<-[n+]1cc2ccccc2[nH]1.[Na+].[Cl-].OB(O)O.CCO|CC(C)c1cccc(C(C)C)c1N1CC[N+](c2c(C(C)C)cccc2C(C)C)=C1[Pd](c1ccccc1)(c1ccc(C#N)cc1)<-[n+]1cc2ccccc2[nH]1.CCO>>N#CC1=CC=C(C2=CC=CC=C2)C=C1.CCO,93
ClC1=C(C)C=CC=C1C.CC(C)c1cccc(C(C)C)c1N1C=C[N+](c2c(C(C)C)cccc2C(C)C)=C1[Pd]<-[N+]1=CC=CC(Cl)=C1.CC(C)O>>Cc1cccc(C)c1[Pd](Cl)(c1n(-c2c(C(C)C)cccc2C(C)C)cc[n+]1-c1c(C(C)C)cccc1C(C)C)<-[n+]1cccc(Cl)c1.CC(C)O|OB(O)C1=CC=CC2=C1C=CC=C2.Cc1cccc(C)c1[Pd](Cl)(c1n(-c2c(C(C)C)cccc2C(C)C)cc[n+]1-c1c(C(C)C)cccc1C(C)C)<-[n+]1cccc(Cl)c1.CC(C)(C)[O-].[K+].CC(C)O>>Cc1cccc(C)c1[Pd](c1cccc2ccccc12)(c1n(-c2c(C(C)C)cccc2C(C)C)cc[n+]1-c1c(C(C)C)cccc1C(C)C)<-[n+]1cccc(Cl)c1.[K+].[Cl-].CC(C)(C)OB(O)O.CC(C)O|Cc1cccc(C)c1[Pd](c1cccc2ccccc12)(c1n(-c2c(C(C)C)cccc2C(C)C)cc[n+]1-c1c(C(C)C)cccc1C(C)C)<-[n+]1cccc(Cl)c1.CC(C)O>>CC(C=CC=C1C)=C1C2=CC=CC3=C2C=CC=C3.CC(C)O,75
